id,fecha,producto,categoria,cantidad,precio_unitario,monto_total
1,2024-01-03,Notebook Lenovo,Informatica,2,85000,170000
2,2024-01-08,Mouse Logitech,Informatica,5,4500,22500
3,2024-01-12,Teclado Mecanico,Informatica,3,12000,36000
4,2024-01-15,Monitor 24,Informatica,1,75000,75000
5,2024-01-20,Silla Ergonomica,Mobiliario,2,45000,90000
6,2024-01-25,Escritorio Madera,Mobiliario,1,35000,35000
7,2024-02-02,Notebook Lenovo,Informatica,1,85000,85000
8,2024-02-05,Auriculares Sony,Informatica,4,8500,34000
9,2024-02-10,Impresora HP,Informatica,2,32000,64000
10,2024-02-14,Silla Ergonomica,Mobiliario,3,45000,135000
11,2024-02-18,Mouse Logitech,Informatica,6,4500,27000
12,2024-02-22,Webcam Logitech,Informatica,2,9500,19000
13,2024-03-01,Monitor 24,Informatica,2,75000,150000
14,2024-03-05,Teclado Mecanico,Informatica,1,12000,12000
15,2024-03-10,Escritorio Madera,Mobiliario,2,35000,70000
16,2024-03-15,Notebook HP,Informatica,3,95000,285000
17,2024-03-20,Mouse Logitech,Informatica,4,4500,18000
18,2024-03-25,Auriculares Sony,Informatica,2,8500,17000
19,2024-04-01,Notebook Lenovo,Informatica,2,85000,170000
20,2024-04-08,Silla Ergonomica,Mobiliario,1,45000,45000
21,2024-04-12,Impresora HP,Informatica,1,32000,32000
22,2024-04-18,Monitor 24,Informatica,1,75000,75000
23,2024-04-22,Webcam Logitech,Informatica,3,9500,28500
24,2024-04-28,Teclado Mecanico,Informatica,2,12000,24000
25,2024-05-03,Notebook HP,Informatica,1,95000,95000
26,2024-05-10,Mouse Logitech,Informatica,8,4500,36000
27,2024-05-15,Silla Ergonomica,Mobiliario,4,45000,180000
28,2024-05-20,Auriculares Sony,Informatica,3,8500,25500
29,2024-05-25,Escritorio Madera,Mobiliario,1,35000,35000
30,2024-05-30,Notebook Lenovo,Informatica,3,85000,255000
31,2024-06-04,Monitor 24,Informatica,2,75000,150000
32,2024-06-10,Impresora HP,Informatica,2,32000,64000
33,2024-06-15,Mouse Logitech,Informatica,5,4500,22500
34,2024-06-20,Notebook HP,Informatica,2,95000,190000
35,2024-06-25,Teclado Mecanico,Informatica,3,12000,36000
